ID	xref	prefLabel
https://purl.brain-bican.org/ontology/hbao/HBA_4761	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4761	IX, right, paravermis  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4763	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4763	X, right, paravermis  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4766	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4766	I-II, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4767	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4767	III, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4768	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4768	IV, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4769	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4769	V, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4771	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4771	VI, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4772	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4772	Crus I, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4773	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4773	Crus II, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4774	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4774	VIIB, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4775	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4775	VIIIA, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4776	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4776	VIIIB, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4777	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4777	IX, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4779	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4779	X, right, lateral hemisphere  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4780	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4780	cerebellar nuclei  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4782	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4782	dentate nucleus, left  ( human )
https://purl.brain-bican.org/ontology/hbao/HBA_4783	http://atlas.brain-map.org/atlas?atlas=265297125#structure=4783	emboliform nucleus, left  ( human )
